Gene ID,ID,Label,+/-
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000138413,GO:0006749,glutathione metabolic process,+
ENSG00000134201,GO:0006749,glutathione metabolic process,+
ENSG00000134201,GO:0006749,glutathione metabolic process,+
ENSG00000134201,GO:0006749,glutathione metabolic process,+
ENSG00000134201,GO:0006749,glutathione metabolic process,+
ENSG00000134201,GO:0006749,glutathione metabolic process,+
ENSG00000023909,GO:0006749,glutathione metabolic process,+
,GO:0044419,biological process involved in interspecies interaction between organisms,+
,GO:0044403,biological process involved in symbiotic interaction,+
ENSG00000204010,GO:0051707,response to other organism,+
ENSG00000185745,GO:0051707,response to other organism,+
ENSG00000185745,GO:0051707,response to other organism,+
ENSG00000119917,GO:0051707,response to other organism,+
ENSG00000119917,GO:0051707,response to other organism,+
ENSG00000119917,GO:0051707,response to other organism,+
ENSG00000119917,GO:0051707,response to other organism,+
ENSG00000119917,GO:0051707,response to other organism,+
ENSG00000119917,GO:0051707,response to other organism,+
ENSG00000119917,GO:0051707,response to other organism,+
ENSG00000119922,GO:0051707,response to other organism,+
ENSG00000119922,GO:0051707,response to other organism,+
ENSG00000119922,GO:0051707,response to other organism,+
ENSG00000169057,GO:0051707,response to other organism,+
ENSG00000152778,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000171552,GO:0051707,response to other organism,+
ENSG00000184979,GO:0051707,response to other organism,+
ENSG00000069399,GO:0051707,response to other organism,+
ENSG00000069399,GO:0051707,response to other organism,+
ENSG00000184216,GO:0051707,response to other organism,+
ENSG00000137965,GO:0051707,response to other organism,+
ENSG00000203710,GO:0051707,response to other organism,+
ENSG00000170421,GO:0051707,response to other organism,+
ENSG00000115935,GO:0051707,response to other organism,+
ENSG00000243414,GO:0051707,response to other organism,+
ENSG00000158092,GO:0051707,response to other organism,+
ENSG00000103313,GO:0051707,response to other organism,+
ENSG00000103313,GO:0051707,response to other organism,+
ENSG00000103313,GO:0051707,response to other organism,+
ENSG00000103313,GO:0051707,response to other organism,+
ENSG00000103313,GO:0051707,response to other organism,+
ENSG00000103313,GO:0051707,response to other organism,+
ENSG00000103313,GO:0051707,response to other organism,+
ENSG00000103313,GO:0051707,response to other organism,+
ENSG00000126581,GO:0051707,response to other organism,+
ENSG00000163661,GO:0051707,response to other organism,+
ENSG00000123838,GO:0051707,response to other organism,+
ENSG00000134443,GO:0043207,response to external biotic stimulus,+
ENSG00000126010,GO:0043207,response to external biotic stimulus,+
ENSG00000285251,GO:0006952,defense response,+
ENSG00000102794,GO:0006952,defense response,+
ENSG00000102794,GO:0006952,defense response,+
ENSG00000102794,GO:0006952,defense response,+
ENSG00000285176,GO:0006952,defense response,+
ENSG00000284979,GO:0006952,defense response,+
ENSG00000285617,GO:0006952,defense response,+
ENSG00000285034,GO:0006952,defense response,+
ENSG00000285376,GO:0006952,defense response,+
ENSG00000285433,GO:0006952,defense response,+
ENSG00000285249,GO:0006952,defense response,+
ENSG00000284754,GO:0006952,defense response,+
ENSG00000284754,GO:0006952,defense response,+
ENSG00000285365,GO:0006952,defense response,+
ENSG00000285087,GO:0006952,defense response,+
ENSG00000285432,GO:0006952,defense response,+
ENSG00000285411,GO:0006952,defense response,+
ENSG00000284937,GO:0006952,defense response,+
ENSG00000285356,GO:0006952,defense response,+
ENSG00000288309,GO:0006952,defense response,+
ENSG00000288309,GO:0006952,defense response,+
ENSG00000288309,GO:0006952,defense response,+
ENSG00000288309,GO:0006952,defense response,+
ENSG00000284978,GO:0006952,defense response,+
ENSG00000285181,GO:0006952,defense response,+
ENSG00000284881,GO:0006952,defense response,+
ENSG00000285136,GO:0006952,defense response,+
ENSG00000285318,GO:0006952,defense response,+
