




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5114)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
ribosome biogenesis (GO:0042254)	322	154	80.01	+	1.92	3.62E-19	1.59E-16
rRNA metabolic process (GO:0016072)	272	130	67.59	+	1.92	2.42E-16	8.38E-14
leukocyte homeostasis (GO:0001776)	113	54	28.08	+	1.92	1.40E-07	9.81E-06
sister chromatid segregation (GO:0000819)	151	72	37.52	+	1.92	1.11E-09	1.21E-07
leukocyte cell-cell adhesion (GO:0007159)	63	30	15.66	+	1.92	9.92E-05	3.71E-03
mitotic sister chromatid segregation (GO:0000070)	147	70	36.53	+	1.92	2.14E-09	2.12E-07
sphingolipid catabolic process (GO:0030149)	42	20	10.44	+	1.92	1.81E-03	4.06E-02
positive regulation of T cell differentiation (GO:0045582)	122	58	30.32	+	1.91	6.90E-08	5.12E-06
regulation of lymphocyte apoptotic process (GO:0070228)	57	27	14.16	+	1.91	2.91E-04	9.21E-03
nuclear chromosome segregation (GO:0098813)	245	116	60.88	+	1.91	2.32E-14	5.80E-12
metaphase chromosome alignment (GO:0051310)	93	44	23.11	+	1.90	2.84E-06	1.55E-04
telomere organization (GO:0032200)	108	51	26.84	+	1.90	4.86E-07	3.06E-05
RNA methylation (GO:0001510)	89	42	22.12	+	1.90	5.68E-06	2.89E-04
double-strand break repair via homologous recombination (GO:0000724)	123	58	30.56	+	1.90	8.37E-08	6.11E-06
positive regulation of chromosome organization (GO:2001252)	104	49	25.84	+	1.90	9.67E-07	5.74E-05
positive regulation of T cell activation (GO:0050870)	259	122	64.36	+	1.90	6.83E-15	1.87E-12
positive regulation of lymphocyte differentiation (GO:0045621)	138	65	34.29	+	1.90	1.45E-08	1.21E-06
centrosome cycle (GO:0007098)	102	48	25.35	+	1.89	1.37E-06	7.77E-05
T cell differentiation (GO:0030217)	200	94	49.70	+	1.89	9.49E-12	1.66E-09
meiotic nuclear division (GO:0140013)	181	85	44.98	+	1.89	1.06E-10	1.45E-08
positive regulation of myeloid leukocyte differentiation (GO:0002763)	64	30	15.90	+	1.89	1.26E-04	4.47E-03
