




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5102)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of AMPA receptor activity (GO:2000311)	29	0	7.19	-	 < 0.01	3.64E-04	7.32E-03
transcription initiation at RNA polymerase III promoter (GO:0006384)	27	0	6.69	-	 < 0.01	5.98E-04	1.11E-02
maturation of LSU-rRNA (GO:0000470)	32	0	7.93	-	 < 0.01	2.50E-04	5.41E-03
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	23	0	5.70	-	 < 0.01	2.56E-03	3.63E-02
spliceosomal conformational changes to generate catalytic conformation (GO:0000393)	39	0	9.67	-	 < 0.01	2.05E-05	6.47E-04
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) (GO:0000388)	35	0	8.68	-	 < 0.01	9.06E-05	2.32E-03
alternative mRNA splicing, via spliceosome (GO:0000380)	26	0	6.45	-	 < 0.01	9.54E-04	1.63E-02
spliceosomal tri-snRNP complex assembly (GO:0000244)	38	0	9.42	-	 < 0.01	3.35E-05	9.89E-04
proton motive force-driven mitochondrial ATP synthesis (GO:0042776)	64	0	15.87	-	 < 0.01	1.59E-08	1.04E-06
proton motive force-driven ATP synthesis (GO:0015986)	72	0	17.85	-	 < 0.01	2.57E-09	1.91E-07
