




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5102)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of lymphocyte proliferation (GO:0050671)	149	80	36.94	+	2.17	4.08E-14	6.12E-12
axonemal dynein complex assembly (GO:0070286)	41	22	10.16	+	2.16	7.71E-05	2.01E-03
cilium-dependent cell motility (GO:0060285)	239	128	59.25	+	2.16	1.64E-21	8.21E-19
cilium or flagellum-dependent cell motility (GO:0001539)	239	128	59.25	+	2.16	1.64E-21	7.94E-19
homologous chromosome segregation (GO:0045143)	71	38	17.60	+	2.16	2.33E-07	1.29E-05
positive regulation of alpha-beta T cell activation (GO:0046635)	71	38	17.60	+	2.16	2.33E-07	1.29E-05
regulation of nuclear division (GO:0051783)	157	84	38.92	+	2.16	1.11E-14	1.83E-12
positive regulation of mononuclear cell proliferation (GO:0032946)	150	80	37.19	+	2.15	6.07E-14	8.83E-12
negative regulation of mononuclear cell migration (GO:0071676)	30	16	7.44	+	2.15	9.28E-04	1.60E-02
chondrocyte development (GO:0002063)	30	16	7.44	+	2.15	9.28E-04	1.60E-02
regulation of T-helper cell differentiation (GO:0045622)	47	25	11.65	+	2.15	2.87E-05	8.70E-04
B cell proliferation (GO:0042100)	34	18	8.43	+	2.14	4.51E-04	8.76E-03
detection of light stimulus (GO:0009583)	70	37	17.35	+	2.13	4.76E-07	2.45E-05
regulation of T-helper 17 type immune response (GO:2000316)	36	19	8.92	+	2.13	3.19E-04	6.61E-03
positive regulation of leukocyte proliferation (GO:0070665)	167	88	41.40	+	2.13	8.77E-15	1.50E-12
response to interleukin-4 (GO:0070670)	38	20	9.42	+	2.12	2.27E-04	5.03E-03
positive regulation of T cell differentiation (GO:0045582)	122	64	30.25	+	2.12	5.44E-11	4.94E-09
sperm motility (GO:0097722)	224	117	55.53	+	2.11	1.12E-18	3.60E-16
flagellated sperm motility (GO:0030317)	224	117	55.53	+	2.11	1.12E-18	3.53E-16
cell surface receptor signaling pathway via STAT (GO:0097696)	94	49	23.30	+	2.10	1.21E-08	8.13E-07
extracellular transport (GO:0006858)	52	27	12.89	+	2.09	2.98E-05	8.93E-04
meiosis I cell cycle process (GO:0061982)	137	71	33.96	+	2.09	1.05E-11	1.05E-09
regulation of chromosome separation (GO:1905818)	85	44	21.07	+	2.09	9.14E-08	5.35E-06
negative regulation of lipid catabolic process (GO:0050995)	29	15	7.19	+	2.09	1.87E-03	2.79E-02
kinetochore assembly (GO:0051382)	29	15	7.19	+	2.09	1.87E-03	2.78E-02
